Id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1,32,Male,Bachelor's,Software Engineer,5,90000
2,28,Female,Master's,Data Analyst,3,65000
3,45,Male,PhD,Senior Manager,15,150000
4,36,Female,Bachelor's,Sales Associate,7,60000
5,52,Male,Master's,Director,20,200000
6,29,Male,Bachelor's,Marketing Analyst,2,55000
7,42,Female,Master's,Product Manager,12,120000
8,31,Male,Bachelor's,Sales Manager,4,80000
9,26,Female,Bachelor's,Marketing Coordinator,1,45000
10,38,Male,PhD,Senior Scientist,10,110000
11,29,Male,Master's,Software Developer,3,75000
12,48,Female,Bachelor's,HR Manager,18,140000
13,35,Male,Bachelor's,Financial Analyst,6,65000
14,40,Female,Master's,Project Manager,14,130000
15,27,Male,Bachelor's,Customer Service Rep,2,40000
16,44,Male,Bachelor's,Operations Manager,16,125000
17,33,Female,Master's,Marketing Manager,7,90000
18,39,Male,PhD,Senior Engineer,12,115000
19,25,Female,Bachelor's,Data Entry Clerk,0,35000
20,51,Male,Bachelor's,Sales Director,22,180000
21,34,Female,Master's,Business Analyst,5,80000
22,47,Male,Master's,VP of Operations,19,190000
23,30,Male,Bachelor's,IT Support,2,50000
24,36,Female,Bachelor's,Recruiter,9,60000
25,41,Male,Master's,Financial Manager,13,140000
26,28,Female,Bachelor's,Social Media Specialist,3,45000
27,37,Female,Master's,Software Manager,11,110000
28,24,Male,Bachelor's,Junior Developer,1,40000
29,43,Female,PhD,Senior Consultant,15,140000
30,33,Male,Master's,Product Designer,6,90000
31,50,Male,Bachelor's,CEO,25,250000
32,31,Female,Bachelor's,Accountant,4,55000
33,29,Male,Master's,Data Scientist,3,75000
34,39,Female,Bachelor's,Marketing Specialist,10,65000
35,46,Male,PhD,Senior Manager,20,170000
36,27,Male,Bachelor's,Technical Writer,2,45000
37,35,Female,Bachelor's,HR Generalist,7,60000
38,42,Male,Master's,Project Engineer,14,115000
39,26,Female,Bachelor's,Customer Success Rep,1,40000
40,49,Male,Bachelor's,Sales Executive,21,160000
41,34,Female,Master's,UX Designer,5,80000
42,48,Male,Master's,Operations Director,18,190000
43,30,Male,Bachelor's,Network Engineer,3,60000
44,36,Female,Bachelor's,Administrative Assistant,8,45000
45,41,Male,Master's,Strategy Consultant,13,130000
46,28,Female,Bachelor's,Copywriter,2,40000
47,32,Male,Bachelor's,Account Manager,5,75000
48,45,Female,Master's,Director of Marketing,16,180000
49,38,Male,PhD,Senior Scientist,11,120000
50,25,Male,Bachelor's,Help Desk Analyst,0,35000
51,51,Female,Bachelor's,Customer Service Manager,22,130000
52,33,Male,Master's,Business Intelligence Analyst,7,85000
53,40,Female,Bachelor's,Event Coordinator,12,60000
54,47,Male,Master's,VP of Finance,19,200000
55,29,Female,Bachelor's,Graphic Designer,3,50000
56,36,Male,Bachelor's,Sales Manager,9,95000
57,27,Female,Master's,UX Researcher,2,65000
58,43,Male,PhD,Senior Engineer,17,140000
59,30,Female,Bachelor's,Social Media Manager,4,55000
60,35,Male,Master's,Product Manager,7,105000
61,51,Female,Master's,Director of Operations,23,170000
62,29,Male,Bachelor's,Marketing Analyst,3,50000
63,40,Female,Bachelor's,HR Manager,12,80000
64,47,Male,PhD,Senior Data Scientist,21,180000
65,26,Male,Bachelor's,Junior Accountant,1,35000
66,38,Female,Master's,Digital Marketing Manager,10,90000
67,46,Male,Bachelor's,IT Manager,19,120000
68,31,Female,Bachelor's,Customer Service Representative,5,45000
69,34,Male,Master's,Business Development Manager,8,90000
70,49,Female,Master's,Senior Financial Analyst,18,150000
71,33,Male,Bachelor's,Web Developer,6,65000
72,39,Female,Bachelor's,Recruiter,11,70000
73,45,Male,PhD,Research Director,16,190000
74,28,Male,Bachelor's,Technical Support Specialist,2,40000
75,42,Female,Master's,Creative Director,14,120000
76,37,Male,Bachelor's,Project Manager,10,95000
77,50,Female,Bachelor's,Operations Manager,22,160000
78,32,Male,Master's,Senior Software Engineer,6,100000
79,48,Female,Master's,Human Resources Director,20,180000
80,30,Female,Bachelor's,Content Marketing Manager,3,55000
81,36,Male,Bachelor's,Technical Recruiter,8,70000
82,41,Female,Master's,Data Analyst,13,80000
83,25,Male,Bachelor's,Sales Representative,0,30000
84,52,Male,PhD,Chief Technology Officer,24,250000
85,29,Female,Bachelor's,Junior Designer,2,40000
86,34,Female,Master's,Financial Advisor,10,95000
87,27,Male,Bachelor's,Junior Account Manager,2,45000
88,40,Female,Bachelor's,HR Generalist,15,80000
89,46,Male,Master's,Senior Project Manager,21,135000
90,31,Female,Bachelor's,Marketing Coordinator,6,55000
91,36,Male,PhD,Principal Scientist,11,120000
92,29,Female,Bachelor's,Sales Associate,3,40000
93,43,Male,Bachelor's,Supply Chain Manager,18,105000
94,52,Female,Master's,Senior Marketing Manager,25,170000
95,33,Male,Bachelor's,Business Analyst,7,75000
96,39,Female,Bachelor's,Training Specialist,12,65000
97,47,Male,PhD,Research Scientist,22,160000
98,26,Male,Bachelor's,Junior Software Developer,1,35000
99,38,Female,Master's,Public Relations Manager,10,90000
100,45,Male,Bachelor's,Operations Analyst,20,110000
101,31,Female,Bachelor's,Event Coordinator,5,45000
102,35,Male,Master's,Product Marketing Manager,8,95000
103,49,Female,Master's,Senior HR Manager,19,150000
104,33,Male,Bachelor's,Junior Web Developer,5,50000
105,39,Female,Master's,Senior Project Coordinator,13,80000
106,44,Male,PhD,Chief Data Officer,16,220000
107,30,Female,Bachelor's,Digital Content Producer,3,50000
108,36,Male,Bachelor's,IT Support Specialist,7,60000
109,41,Female,Master's,Senior Marketing Analyst,14,100000
110,28,Male,Bachelor's,Customer Success Manager,2,40000
111,42,Female,Master's,Senior Graphic Designer,15,110000
112,37,Male,Bachelor's,Software Project Manager,9,95000
113,50,Female,Bachelor's,Supply Chain Analyst,22,130000
114,32,Male,Master's,Senior Business Analyst,6,90000
115,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000
116,31,Male,Master's,Senior Financial Analyst,6,95000
117,40,Female,Bachelor's,Office Manager,15,65000
118,48,Male,PhD,Principal Engineer,20,170000
119,29,Female,Bachelor's,Junior HR Generalist,3,45000
120,35,Male,Master's,Senior Product Manager,10,120000
121,42,Female,Bachelor's,Sales Manager,17,100000
122,53,Male,Master's,Director of Marketing,25,180000
123,33,Female,Bachelor's,Junior Operations Analyst,5,50000
124,38,Male,Bachelor's,Customer Service Manager,11,80000
125,44,Female,PhD,Senior Scientist,16,140000
126,26,Male,Bachelor's,Junior Accountant,2,40000
127,37,Female,Master's,Senior HR Generalist,9,95000
128,45,Male,Bachelor's,Sales Operations Manager,18,110000
129,32,Female,Bachelor's,Marketing Coordinator,4,50000
130,34,Male,Master's,Senior Software Developer,8,105000
131,50,Female,Master's,Director of Operations,21,160000
132,29,Male,Bachelor's,Junior Web Designer,3,45000
133,40,Female,Master's,Senior Training Specialist,12,100000
134,47,Male,PhD,Senior Research Scientist,22,160000
135,27,Male,Bachelor's,Junior Sales Representative,1,35000
136,39,Female,Bachelor's,Administrative Assistant,10,55000
137,46,Male,Master's,Senior Project Manager,19,140000
138,30,Female,Bachelor's,Junior Marketing Manager,4,50000
139,36,Male,Bachelor's,Junior Data Analyst,7,60000
140,43,Female,Master's,Senior Product Marketing Manager,14,120000
141,28,Male,Bachelor's,Junior Business Analyst,2,40000
142,41,Female,Master's,Senior Marketing Manager,13,110000
143,33,Male,Bachelor's,Junior Software Developer,5,50000
144,47,Male,Bachelor's,Senior Sales Manager,20,135000
145,25,Female,Master's,Junior Marketing Specialist,1.5,40000
146,34,Male,Bachelor's,Senior Business Analyst,8,90000
147,42,Female,PhD,Senior Data Scientist,16,150000
148,31,Male,Bachelor's,Junior Project Manager,4,60000
149,38,Female,Bachelor's,Senior Accountant,10,80000
150,45,Male,Master's,Director of Sales,19,175000
151,29,Female,Bachelor's,Junior Recruiter,3,45000
152,36,Male,Master's,Senior Business Development Manager,11,120000
153,43,Female,PhD,Senior Product Designer,18,140000
154,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000
155,37,Female,Master's,Senior Marketing Analyst,9,95000
156,44,Male,Bachelor's,Senior IT Support Specialist,14,110000
157,32,Female,Bachelor's,Junior Financial Analyst,5,50000
158,33,Male,Master's,Senior Operations Manager,7,115000
159,51,Female,PhD,Director of Human Resources,23,185000
160,28,Male,Bachelor's,Junior Software Engineer,2,40000
161,39,Female,Bachelor's,Senior Sales Representative,12,90000
162,48,Male,Master's,Director of Product Management,21,175000
163,30,Female,Bachelor's,Junior Copywriter,3,45000
164,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000
165,41,Female,Master's,Senior Human Resources Manager,13,120000
166,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000
167,40,Female,Bachelor's,Senior Account Manager,14,110000
168,46,Male,PhD,Senior Researcher,18,150000
169,31,Female,Bachelor's,Junior HR Coordinator,4,50000
170,34,Male,Master's,Senior Software Engineer,9,105000
171,50,Female,Master's,Director of Finance,20,180000
